d944,mm,0.00 mm,
d945,deg,0.0 °,
d946,mm,2 mm,
d947,mm,10 mm,
d948,mm,0.7 mm,
d949,mm,-1.5 mm,
d950,deg,0.0 °,
d953,mm,-0.2 mm,
d954,deg,0.0 °,
d955,mm,-0.2 mm,
d956,deg,0.0 °,
d1134,mm,2.9 mm,
d1135,mm,2.9 mm,
d1137,mm,2.8 mm,
d1332,mm,14.39 mm,
d1138,mm,-0.4 mm,
d1139,deg,0.0 °,
d1253,mm,Toggle_Hole + 0.25 mm,
d1254,mm,5 mm,
d1255,mm,5 mm,
d1256,mm,5 mm,
d1257,mm,5 mm,
d1259,mm,5 mm,
d1260,mm,13.5 mm,
d1261,mm,12.9 mm,
d1263,mm,5 mm,
d1270,mm,4.8 mm,
d1278,mm,19.3 mm,
d1288,mm,3 mm,
d1289,mm,10 mm,
d1274,mm,0.00 mm,
d1275,deg,0.0 °,
d1276,mm,-0.5 mm,
d1277,deg,0.0 °,
d1281,mm,38 mm,
d1290,mm,M3_Bolt_Shaft_Diameter_Loose,
d1291,mm,32.6 mm,
d1292,mm,d1291,
d1304,mm,Air_Hole_Length,
d1305,mm,Air_Hole_Width,
d1306,,Air_Hole_Width_Count,
d1307,,Air_Hole_Length_Count,
d1308,mm,Air_Hole_Width_Spacing,
d1309,mm,Air_Hole_Length_Spacing,
d1314,mm,Air_Hole_Length_Spacing - Air_Hole_Length,
d1315,mm,Air_Hole_Width_Spacing - Air_Hole_Width,
d1282,mm,0.00 mm,
d1283,deg,0.0 °,
d1316,mm,0.00 mm,
d1317,deg,0.0 °,
d1318,mm,7.3 mm,
d1319,mm,4.23 mm,
d1324,mm,5 mm,
d1325,mm,3 mm,
d1320,mm,0.00 mm,
d1321,deg,0.0 °,
d1328,mm,M3_Hex_Nut_Diameter_Loose,
d1329,mm,-M3_Hex_Nut_Height_w_Clearance / 2,
d1330,deg,0.0 °,
d1350,mm,6.1 mm,
d1351,mm,12 mm,
d1338,mm,8 mm,
d1339,deg,0.0 °,
d1352,mm,3.3 mm,
d1353,mm,16 mm,
d1354,mm,4.6 mm,
d1355,mm,13 mm,
d1356,deg,0.0 °,
d1357,mm,5 mm,
d1358,mm,1.00 mm,
d1359,deg,0.0 °,
d1360,mm,1 mm,
d1361,mm,3.5 mm,
d1362,deg,0.0 °,
d1364,deg,0.0 °,
d1365,mm,-1 mm,
d1366,,11,
d1367,deg,360.00 °,
d1342,mm,2 mm,
d1343,deg,0.0 °,
d1344,mm,0.00 mm,
d1345,deg,0.0 °,
d1346,,13,
d1347,deg,360.0 °,
d1371,mm,2 mm,
d1372,mm,-3 mm,
d1373,deg,0.0 °,
